,teamcomp,total_games,total_draws,total_wins,winrate,porc_total
134,"['ranged dps', 'tank', 'thrower']",22,0.0,18.0,0.8181818181818182,0.001340809361287177
135,"['ranged dps', 'thrower', 'thrower']",21,0.0,20.0,0.9523809523809523,0.001279863481228669
136,"['sniper', 'sniper', 'sniper']",147,0.0,104.0,0.7074829931972789,0.008959044368600682
137,"['sniper', 'sniper', 'tank stopper']",2,0.0,2.0,1.0,0.00012189176011701609
138,"['sniper', 'sniper', 'tank']",45,0.0,28.0,0.6222222222222222,0.002742564602632862
139,"['sniper', 'sniper', 'thrower']",327,0.0,233.0,0.7125382262996942,0.01992930277913213
140,"['sniper', 'tank', 'tank stopper']",3,0.0,2.0,0.6666666666666666,0.00018283764017552415
141,"['sniper', 'tank', 'tank']",2,0.0,1.0,0.5,0.00012189176011701609
142,"['sniper', 'tank', 'thrower']",91,1.0,68.0,0.7472527472527473,0.005546075085324232
143,"['sniper', 'thrower', 'thrower']",30,0.0,24.0,0.8,0.0018283764017552413
144,"['tank', 'tank stopper', 'thrower']",2,0.0,1.0,0.5,0.00012189176011701609
145,"['tank', 'tank', 'tank stopper']",1,0.0,1.0,1.0,6.094588005850804e-05
146,"['tank', 'tank', 'thrower']",2,0.0,2.0,1.0,0.00012189176011701609
147,"['tank', 'thrower', 'thrower']",4,0.0,4.0,1.0,0.00024378352023403217
148,"['thrower', 'thrower', 'thrower']",14,0.0,9.0,0.6428571428571429,0.0008532423208191126
