,brawlername,event.mode,event.map,d,n,y,total_games,winrate,total_games_map,userate,percentile_quadrant
2505,SQUEAK,hotZone,Controller Chaos,0,199,323,522,0.6187739463601533,19152,0.02725563909774436,Q1
2506,SQUEAK,hotZone,Dueling Beetles,1,628,980,1609,0.6090739589807334,32208,0.04995653253849975,Q1
2507,SQUEAK,hotZone,Open Zone,0,54,55,109,0.5045871559633027,17556,0.00620870357712463,Q4
2508,SQUEAK,hotZone,Parallel Plays,0,21,11,32,0.34375,4602,0.006953498478922208,Q3
2509,SQUEAK,hotZone,Quarter Pounder,0,208,281,489,0.5746421267893661,34110,0.014335971855760774,Q1
2510,SQUEAK,hotZone,Ring of Fire,0,168,152,320,0.475,24894,0.012854503093114807,Q2
2511,SQUEAK,hotZone,Split,0,102,93,195,0.47692307692307695,29244,0.006668034468608946,Q4
2512,SQUEAK,knockout,Belle's Rock,0,298,301,599,0.5025041736227045,54234,0.011044732086882766,Q1
2513,SQUEAK,knockout,Flaring Phoenix,1,59,41,101,0.40594059405940597,20676,0.004884890694525053,Q3
2514,SQUEAK,knockout,Goldarm Gulch,0,14,21,35,0.6,6720,0.005208333333333333,Q4
2515,SQUEAK,knockout,New Perspective,0,121,114,235,0.4851063829787234,32994,0.007122507122507123,Q4
2516,SQUEAK,knockout,Out in the Open,1,270,272,543,0.5009208103130756,51246,0.010595948952113335,Q1
2517,SQUEAK,knockout,Riverside,0,96,77,173,0.44508670520231214,31974,0.005410646149996872,Q3
2518,SQUEAK,knockout,X Marks the Spot,0,169,136,305,0.4459016393442623,43602,0.0069950919682583365,Q3
2519,STU,bounty,Canal Grande,0,84,108,192,0.5625,20526,0.00935399006138556,Q1
2520,STU,bounty,Dry Season,0,151,138,289,0.47750865051903113,29460,0.00980991174473863,Q1
2521,STU,bounty,Excel,0,93,105,198,0.5303030303030303,17316,0.011434511434511435,Q1
2522,STU,bounty,Hideout,0,52,19,71,0.2676056338028169,11538,0.006153579476512394,Q3
2523,STU,bounty,Layer Cake,0,139,103,242,0.4256198347107438,19848,0.012192664248286982,Q2
2524,STU,bounty,Shooting Star,0,44,28,72,0.3888888888888889,21186,0.0033984706881903144,Q3
2525,STU,bounty,Temple Ruins,0,44,29,73,0.3972602739726027,7824,0.009330265848670756,Q2
2526,STU,brawlBall,Backyard Bowl,148,2993,3152,6293,0.5008739869696488,133578,0.04711105122100945,Q1
2527,STU,brawlBall,Beach Ball,57,1733,1969,3759,0.5238095238095238,88080,0.04267711171662125,Q1
2528,STU,brawlBall,Center Stage,43,1317,1090,2450,0.4448979591836735,170286,0.014387559752416523,Q2
2529,STU,brawlBall,Pinhole Punt,88,2565,2567,5220,0.4917624521072797,154962,0.03368567777906842,Q1
2530,STU,brawlBall,Sneaky Fields,18,796,645,1459,0.4420836189170665,118884,0.012272467279028296,Q2
2531,STU,brawlBall,Sunny Soccer,35,1238,1262,2535,0.49783037475345165,74093,0.0342137583847327,Q1
2532,STU,brawlBall,Super Beach,105,3510,3675,7290,0.5041152263374485,199884,0.03647115326889596,Q1
2533,STU,gemGrab,Crystal Arcade,0,369,395,764,0.5170157068062827,29454,0.025938751952196644,Q1
2534,STU,gemGrab,Deep Diner,0,789,1009,1798,0.5611790878754171,42288,0.04251797200151343,Q1
2535,STU,gemGrab,Double Swoosh,0,261,233,494,0.4716599190283401,51096,0.009668075778925943,Q2
2536,STU,gemGrab,Gem Fort,0,113,101,214,0.4719626168224299,18906,0.011319157939278537,Q2
2537,STU,gemGrab,Hard Rock Mine,0,563,649,1212,0.5354785478547854,52902,0.022910286945673132,Q1
2538,STU,gemGrab,Minecart Madness,0,379,431,810,0.5320987654320988,40818,0.019844186388358078,Q1
2539,STU,gemGrab,Undermine,0,199,178,377,0.47214854111405835,33870,0.011130794213167995,Q2
2540,STU,heist,Bridge Too Far,0,25,7,32,0.21875,45486,0.0007035131688871301,Q3
2541,STU,heist,Hot Potato,0,25,17,42,0.40476190476190477,19140,0.00219435736677116,Q3
2542,STU,heist,Kaboom Canyon,0,26,22,48,0.4583333333333333,12288,0.00390625,Q3
2543,STU,heist,Pit Stop,1,28,9,38,0.23684210526315788,22482,0.0016902410817542922,Q3
2544,STU,heist,Safe Zone,0,30,23,53,0.4339622641509434,26196,0.0020232096503282945,Q3
2545,STU,heist,Snaked Assault,0,19,6,25,0.24,27510,0.0009087604507451836,Q3
2546,STU,heist,Tornado Ring,0,18,17,35,0.4857142857142857,28224,0.001240079365079365,Q4
2547,STU,hotZone,Controller Chaos,0,341,503,844,0.5959715639810427,19152,0.04406850459482038,Q1
2548,STU,hotZone,Dueling Beetles,0,421,460,881,0.5221339387060159,32208,0.02735345255837059,Q1
2549,STU,hotZone,Open Zone,0,368,386,754,0.5119363395225465,17556,0.042948279790385055,Q1
2550,STU,hotZone,Parallel Plays,0,106,120,226,0.5309734513274337,4602,0.049109083007388095,Q1
2551,STU,hotZone,Quarter Pounder,5,716,1143,1864,0.6131974248927039,34110,0.05464673116388156,Q1
2552,STU,hotZone,Ring of Fire,1,164,240,405,0.5925925925925926,24894,0.016268980477223426,Q1
2553,STU,hotZone,Split,0,654,1035,1689,0.6127886323268206,29244,0.05775543701272056,Q1
2554,STU,knockout,Belle's Rock,1,267,173,441,0.3922902494331066,54234,0.008131430467972121,Q3
2555,STU,knockout,Flaring Phoenix,0,95,62,157,0.39490445859872614,20676,0.007593344940994389,Q3
2556,STU,knockout,Goldarm Gulch,0,23,20,43,0.46511627906976744,6720,0.006398809523809524,Q3
2557,STU,knockout,New Perspective,0,253,164,417,0.3932853717026379,32994,0.012638661574831787,Q2
