,brawlername,event.mode,event.map,d,n,y,total_games,winrate,total_games_map,userate,percentile_quadrant
0,8-BIT,bounty,Canal Grande,0,12,4,16,0.25,20526,0.00077949917178213,Q3
1,8-BIT,bounty,Dry Season,0,58,72,130,0.5538461538461539,29460,0.004412763068567549,Q4
2,8-BIT,bounty,Excel,0,13,17,30,0.5666666666666667,17316,0.0017325017325017325,Q4
3,8-BIT,bounty,Hideout,0,11,5,16,0.3125,11538,0.0013867221355520888,Q3
4,8-BIT,bounty,Layer Cake,0,12,11,23,0.4782608695652174,19848,0.001158806932688432,Q4
5,8-BIT,bounty,Shooting Star,0,46,34,80,0.425,21186,0.0037760785424336826,Q3
6,8-BIT,bounty,Temple Ruins,0,21,20,41,0.4878048780487805,7824,0.005240286298568507,Q4
7,8-BIT,brawlBall,Backyard Bowl,33,439,646,1118,0.5778175313059034,133578,0.0083696417074668,Q4
8,8-BIT,brawlBall,Beach Ball,1,67,52,120,0.43333333333333335,88080,0.0013623978201634877,Q3
9,8-BIT,brawlBall,Center Stage,8,120,103,231,0.4458874458874459,170286,0.0013565413480849864,Q3
10,8-BIT,brawlBall,Pinhole Punt,14,207,275,496,0.5544354838709677,154962,0.003200784708509183,Q4
11,8-BIT,brawlBall,Sneaky Fields,3,64,75,142,0.528169014084507,118884,0.001194441640590828,Q4
12,8-BIT,brawlBall,Sunny Soccer,2,28,53,83,0.6385542168674698,74093,0.001120213785377836,Q4
13,8-BIT,brawlBall,Super Beach,10,118,171,299,0.5719063545150501,199884,0.0014958676032098617,Q4
14,8-BIT,gemGrab,Crystal Arcade,0,105,208,313,0.6645367412140575,29454,0.01062674000135805,Q1
15,8-BIT,gemGrab,Deep Diner,0,141,278,419,0.6634844868735084,42288,0.009908248202799848,Q1
16,8-BIT,gemGrab,Double Swoosh,0,119,131,250,0.524,51096,0.004892750900266166,Q4
17,8-BIT,gemGrab,Gem Fort,0,62,85,147,0.5782312925170068,18906,0.0077753094255791815,Q4
18,8-BIT,gemGrab,Hard Rock Mine,0,472,889,1361,0.6531961792799412,52902,0.02572681562133757,Q1
19,8-BIT,gemGrab,Minecart Madness,0,187,287,474,0.6054852320675106,40818,0.011612523886520653,Q1
20,8-BIT,gemGrab,Undermine,0,148,264,412,0.6407766990291263,33870,0.012164157071154414,Q1
21,8-BIT,heist,Bridge Too Far,4,1083,1344,2431,0.5528589058000822,45486,0.053445016048894164,Q1
22,8-BIT,heist,Hot Potato,0,88,71,159,0.44654088050314467,19140,0.008307210031347963,Q3
23,8-BIT,heist,Kaboom Canyon,1,150,159,310,0.5129032258064516,12288,0.025227864583333332,Q1
24,8-BIT,heist,Pit Stop,0,9,7,16,0.4375,22482,0.0007116804554754915,Q3
25,8-BIT,heist,Safe Zone,3,286,388,677,0.5731166912850812,26196,0.02584364025041991,Q1
26,8-BIT,heist,Snaked Assault,0,192,272,464,0.5862068965517241,27510,0.016866593965830606,Q1
27,8-BIT,heist,Tornado Ring,0,123,113,236,0.4788135593220339,28224,0.008361678004535147,Q4
28,8-BIT,hotZone,Controller Chaos,0,12,6,18,0.3333333333333333,19152,0.0009398496240601503,Q3
29,8-BIT,hotZone,Dueling Beetles,0,34,17,51,0.3333333333333333,32208,0.0015834575260804768,Q3
30,8-BIT,hotZone,Open Zone,0,70,60,130,0.46153846153846156,17556,0.007404875825928458,Q3
31,8-BIT,hotZone,Parallel Plays,0,4,2,6,0.3333333333333333,4602,0.001303780964797914,Q3
32,8-BIT,hotZone,Quarter Pounder,0,70,48,118,0.4067796610169492,34110,0.0034593960715332745,Q3
33,8-BIT,hotZone,Ring of Fire,0,68,51,119,0.42857142857142855,24894,0.004780268337752068,Q3
34,8-BIT,hotZone,Split,0,12,9,21,0.42857142857142855,29244,0.000718096019696348,Q3
35,8-BIT,knockout,Belle's Rock,0,27,21,48,0.4375,54234,0.000885053656377918,Q3
36,8-BIT,knockout,Flaring Phoenix,1,60,89,150,0.5933333333333334,20676,0.007254788160185722,Q4
37,8-BIT,knockout,Goldarm Gulch,0,7,27,34,0.7941176470588235,6720,0.00505952380952381,Q4
38,8-BIT,knockout,New Perspective,0,57,76,133,0.5714285714285714,32994,0.004031035945929563,Q4
39,8-BIT,knockout,Out in the Open,0,74,105,179,0.5865921787709497,51246,0.0034929555477500682,Q4
40,8-BIT,knockout,Riverside,0,86,81,167,0.48502994011976047,31974,0.005222993682366923,Q4
41,8-BIT,knockout,X Marks the Spot,3,220,334,557,0.599640933572711,43602,0.012774643364983258,Q1
42,AMBER,bounty,Canal Grande,0,15,11,26,0.4230769230769231,20526,0.0012666861541459611,Q3
43,AMBER,bounty,Dry Season,0,24,32,56,0.5714285714285714,29460,0.0019008825526137135,Q4
44,AMBER,bounty,Excel,0,16,8,24,0.3333333333333333,17316,0.001386001386001386,Q3
45,AMBER,bounty,Hideout,0,4,8,12,0.6666666666666666,11538,0.0010400416016640667,Q4
46,AMBER,bounty,Layer Cake,0,23,24,47,0.5106382978723404,19848,0.0023679967754937524,Q4
47,AMBER,bounty,Shooting Star,0,25,15,40,0.375,21186,0.0018880392712168413,Q3
48,AMBER,bounty,Temple Ruins,0,35,67,102,0.6568627450980392,7824,0.01303680981595092,Q1
49,AMBER,brawlBall,Backyard Bowl,28,451,584,1063,0.5493885230479775,133578,0.007957897258530596,Q4
50,AMBER,brawlBall,Beach Ball,6,161,148,315,0.46984126984126984,88080,0.003576294277929155,Q3
51,AMBER,brawlBall,Center Stage,16,345,397,758,0.5237467018469657,170286,0.004451334813196622,Q4
52,AMBER,brawlBall,Pinhole Punt,15,410,562,987,0.569402228976697,154962,0.0063693034421342005,Q4
53,AMBER,brawlBall,Sneaky Fields,5,171,179,355,0.504225352112676,118884,0.00298610410147707,Q4
54,AMBER,brawlBall,Sunny Soccer,7,120,127,254,0.5,74093,0.003428124114288799,Q4
55,AMBER,brawlBall,Super Beach,14,257,270,541,0.49907578558225507,199884,0.002706569810490084,Q4
56,AMBER,gemGrab,Crystal Arcade,0,84,76,160,0.475,29454,0.005432199361716575,Q3
57,AMBER,gemGrab,Deep Diner,0,118,90,208,0.4326923076923077,42288,0.004918653045781309,Q3
58,AMBER,gemGrab,Double Swoosh,0,529,757,1286,0.588646967340591,51096,0.025168310630969155,Q1
59,AMBER,gemGrab,Gem Fort,0,68,91,159,0.5723270440251572,18906,0.008410028562361156,Q4
60,AMBER,gemGrab,Hard Rock Mine,0,99,68,167,0.40718562874251496,52902,0.0031567804619863143,Q3
61,AMBER,gemGrab,Minecart Madness,0,166,180,346,0.5202312138728323,40818,0.008476652457249254,Q4
62,AMBER,gemGrab,Undermine,0,218,336,554,0.6064981949458483,33870,0.01635665780927074,Q1
63,AMBER,heist,Bridge Too Far,0,273,307,580,0.5293103448275862,45486,0.012751176186079233,Q1
64,AMBER,heist,Hot Potato,0,49,41,90,0.45555555555555555,19140,0.004702194357366771,Q3
65,AMBER,heist,Kaboom Canyon,0,99,161,260,0.6192307692307693,12288,0.021158854166666668,Q1
66,AMBER,heist,Pit Stop,0,16,7,23,0.30434782608695654,22482,0.0010230406547460191,Q3
67,AMBER,heist,Safe Zone,1,92,78,171,0.45614035087719296,26196,0.006527714154832799,Q3
68,AMBER,heist,Snaked Assault,1,170,136,307,0.44299674267100975,27510,0.011159578335150855,Q2
69,AMBER,heist,Tornado Ring,1,71,56,128,0.4375,28224,0.0045351473922902496,Q3
70,AMBER,hotZone,Controller Chaos,0,111,145,256,0.56640625,19152,0.013366750208855471,Q1
71,AMBER,hotZone,Dueling Beetles,0,166,189,355,0.532394366197183,32208,0.011022106308991555,Q1
72,AMBER,hotZone,Open Zone,0,213,357,570,0.6263157894736842,17556,0.032467532467532464,Q1
73,AMBER,hotZone,Parallel Plays,0,21,34,55,0.6181818181818182,4602,0.011951325510647544,Q1
74,AMBER,hotZone,Quarter Pounder,1,151,141,293,0.4812286689419795,34110,0.008589856347112283,Q4
75,AMBER,hotZone,Ring of Fire,0,213,322,535,0.6018691588785047,24894,0.021491122358801316,Q1
76,AMBER,hotZone,Split,0,44,46,90,0.5111111111111111,29244,0.0030775543701272055,Q4
77,AMBER,knockout,Belle's Rock,0,39,30,69,0.43478260869565216,54234,0.001272264631043257,Q3
78,AMBER,knockout,Flaring Phoenix,0,17,12,29,0.41379310344827586,20676,0.0014025923776359063,Q3
79,AMBER,knockout,Goldarm Gulch,0,6,7,13,0.5384615384615384,6720,0.0019345238095238096,Q4
80,AMBER,knockout,New Perspective,0,60,45,105,0.42857142857142855,32994,0.003182396799418076,Q3
81,AMBER,knockout,Out in the Open,0,70,42,112,0.375,51246,0.0021855364321117744,Q3
82,AMBER,knockout,Riverside,0,56,43,99,0.43434343434343436,31974,0.003096265715894164,Q3
83,AMBER,knockout,X Marks the Spot,0,44,24,68,0.35294117647058826,43602,0.0015595614880051373,Q3
84,ASH,bounty,Canal Grande,0,232,384,616,0.6233766233766234,20526,0.030010718113612004,Q1
85,ASH,bounty,Dry Season,0,14,9,23,0.391304347826087,29460,0.0007807196198234894,Q3
86,ASH,bounty,Excel,0,18,26,44,0.5909090909090909,17316,0.002541002541002541,Q4
87,ASH,bounty,Hideout,0,5,2,7,0.2857142857142857,11538,0.0006066909343040389,Q3
88,ASH,bounty,Layer Cake,0,64,113,177,0.6384180790960452,19848,0.008917775090689238,Q1
89,ASH,bounty,Shooting Star,0,7,20,27,0.7407407407407407,21186,0.001274426508071368,Q4
90,ASH,bounty,Temple Ruins,0,64,86,150,0.5733333333333334,7824,0.019171779141104295,Q1
91,ASH,brawlBall,Backyard Bowl,2,119,126,247,0.5101214574898786,133578,0.0018491068888589438,Q4
92,ASH,brawlBall,Beach Ball,15,506,702,1223,0.5739983646770237,88080,0.013885104450499546,Q1
93,ASH,brawlBall,Center Stage,46,1480,2095,3621,0.5785694559513946,170286,0.02126422606673479,Q1
94,ASH,brawlBall,Pinhole Punt,33,785,1145,1963,0.5832908813041263,154962,0.012667621739523238,Q1
95,ASH,brawlBall,Sneaky Fields,45,1609,2281,3935,0.5796696315120712,118884,0.03309949194172471,Q1
96,ASH,brawlBall,Sunny Soccer,10,538,712,1260,0.5650793650793651,74093,0.017005655055133413,Q1
97,ASH,brawlBall,Super Beach,54,1635,2256,3945,0.5718631178707224,199884,0.019736447139340817,Q1
98,ASH,gemGrab,Crystal Arcade,0,403,654,1057,0.618732261116367,29454,0.03588646703334012,Q1
99,ASH,gemGrab,Deep Diner,0,184,242,426,0.568075117370892,42288,0.01007377979568672,Q1
100,ASH,gemGrab,Double Swoosh,0,721,976,1697,0.5751325869180908,51096,0.033211993111006734,Q1
101,ASH,gemGrab,Gem Fort,0,261,465,726,0.640495867768595,18906,0.03840050777530943,Q1
102,ASH,gemGrab,Hard Rock Mine,0,806,1110,1916,0.5793319415448852,52902,0.036217912366262144,Q1
103,ASH,gemGrab,Minecart Madness,0,47,64,111,0.5765765765765766,40818,0.002719388505071292,Q4
104,ASH,gemGrab,Undermine,0,375,500,875,0.5714285714285714,33870,0.025834071449660465,Q1
105,ASH,heist,Bridge Too Far,0,10,2,12,0.16666666666666666,45486,0.00026381743833267377,Q3
106,ASH,heist,Hot Potato,1,11,19,31,0.6129032258064516,19140,0.001619644723092999,Q4
107,ASH,heist,Kaboom Canyon,0,12,4,16,0.25,12288,0.0013020833333333333,Q3
108,ASH,heist,Pit Stop,0,13,6,19,0.3157894736842105,22482,0.0008451205408771461,Q3
109,ASH,heist,Safe Zone,0,3,3,6,0.5,26196,0.00022904260192395785,Q4
110,ASH,heist,Snaked Assault,0,42,25,67,0.373134328358209,27510,0.002435478007997092,Q3
111,ASH,heist,Tornado Ring,0,40,35,75,0.4666666666666667,28224,0.002657312925170068,Q3
112,ASH,hotZone,Controller Chaos,0,227,363,590,0.6152542372881356,19152,0.030806182121971594,Q1
113,ASH,hotZone,Dueling Beetles,0,95,80,175,0.45714285714285713,32208,0.005433432687531048,Q3
114,ASH,hotZone,Open Zone,0,13,9,22,0.4090909090909091,17556,0.0012531328320802004,Q3
115,ASH,hotZone,Parallel Plays,0,60,62,122,0.5081967213114754,4602,0.026510212950890916,Q1
116,ASH,hotZone,Quarter Pounder,0,109,77,186,0.41397849462365593,34110,0.005452946350043976,Q3
117,ASH,hotZone,Ring of Fire,0,143,194,337,0.5756676557863502,24894,0.013537398569936531,Q1
118,ASH,hotZone,Split,1,196,409,606,0.6749174917491749,29244,0.020722199425523183,Q1
119,ASH,knockout,Belle's Rock,0,23,30,53,0.5660377358490566,54234,0.000977246745583951,Q4
120,ASH,knockout,Flaring Phoenix,0,24,27,51,0.5294117647058824,20676,0.0024666279744631455,Q4
121,ASH,knockout,Goldarm Gulch,0,4,4,8,0.5,6720,0.0011904761904761906,Q4
122,ASH,knockout,New Perspective,0,18,24,42,0.5714285714285714,32994,0.0012729587197672304,Q4
123,ASH,knockout,Out in the Open,0,18,25,43,0.5813953488372093,51246,0.0008390898801857706,Q4
124,ASH,knockout,Riverside,0,4,4,8,0.5,31974,0.0002502032901732658,Q4
125,ASH,knockout,X Marks the Spot,0,33,43,76,0.5657894736842105,43602,0.0017430393101233888,Q4
126,BARLEY,bounty,Canal Grande,0,62,42,104,0.40384615384615385,20526,0.0050667446165838445,Q3
127,BARLEY,bounty,Dry Season,0,27,22,49,0.4489795918367347,29460,0.0016632722335369993,Q3
128,BARLEY,bounty,Excel,0,47,38,85,0.4470588235294118,17316,0.0049087549087549085,Q3
129,BARLEY,bounty,Hideout,0,10,5,15,0.3333333333333333,11538,0.0013000520020800832,Q3
130,BARLEY,bounty,Layer Cake,0,42,14,56,0.25,19848,0.0028214429665457475,Q3
131,BARLEY,bounty,Shooting Star,0,10,8,18,0.4444444444444444,21186,0.0008496176720475786,Q3
132,BARLEY,bounty,Temple Ruins,0,7,8,15,0.5333333333333333,7824,0.0019171779141104294,Q4
133,BARLEY,brawlBall,Backyard Bowl,2,47,16,65,0.24615384615384617,133578,0.00048660707601551155,Q3
134,BARLEY,brawlBall,Beach Ball,11,208,199,418,0.47607655502392343,88080,0.004745685740236149,Q4
135,BARLEY,brawlBall,Center Stage,6,106,81,193,0.41968911917098445,170286,0.001133387360088322,Q3
136,BARLEY,brawlBall,Pinhole Punt,3,106,63,172,0.36627906976744184,154962,0.0011099495360152813,Q3
137,BARLEY,brawlBall,Sneaky Fields,4,147,133,284,0.46830985915492956,118884,0.002388883281181656,Q3
138,BARLEY,brawlBall,Sunny Soccer,2,257,266,525,0.5066666666666667,74093,0.007085689606305589,Q4
139,BARLEY,brawlBall,Super Beach,50,1113,1682,2845,0.5912126537785589,199884,0.014233255288067079,Q1
140,BARLEY,gemGrab,Crystal Arcade,0,31,33,64,0.515625,29454,0.00217287974468663,Q4
141,BARLEY,gemGrab,Deep Diner,0,359,558,917,0.608505997818975,42288,0.021684638668180097,Q1
142,BARLEY,gemGrab,Double Swoosh,0,41,32,73,0.4383561643835616,51096,0.0014286832628777203,Q3
143,BARLEY,gemGrab,Gem Fort,0,11,9,20,0.45,18906,0.0010578652279699566,Q3
144,BARLEY,gemGrab,Hard Rock Mine,0,56,36,92,0.391304347826087,52902,0.0017390646856451553,Q3
145,BARLEY,gemGrab,Minecart Madness,0,74,64,138,0.463768115942029,40818,0.003380861384683228,Q3
146,BARLEY,gemGrab,Undermine,0,31,16,47,0.3404255319148936,33870,0.0013876586950103337,Q3
147,BARLEY,heist,Bridge Too Far,0,34,21,55,0.38181818181818183,45486,0.0012091632590247548,Q3
148,BARLEY,heist,Hot Potato,0,363,485,848,0.5719339622641509,19140,0.044305120167189134,Q1
149,BARLEY,heist,Kaboom Canyon,0,34,17,51,0.3333333333333333,12288,0.004150390625,Q3
150,BARLEY,heist,Pit Stop,0,421,486,907,0.535832414553473,22482,0.04034338581976692,Q1
151,BARLEY,heist,Safe Zone,0,54,24,78,0.3076923076923077,26196,0.002977553825011452,Q3
152,BARLEY,heist,Snaked Assault,1,98,50,149,0.33557046979865773,27510,0.005416212286441294,Q3
153,BARLEY,heist,Tornado Ring,1,110,71,182,0.3901098901098901,28224,0.006448412698412698,Q3
154,BARLEY,hotZone,Controller Chaos,0,116,112,228,0.49122807017543857,19152,0.011904761904761904,Q1
155,BARLEY,hotZone,Dueling Beetles,0,140,122,262,0.46564885496183206,32208,0.008134624937903626,Q3
156,BARLEY,hotZone,Open Zone,0,22,7,29,0.2413793103448276,17556,0.0016518569150148097,Q3
157,BARLEY,hotZone,Parallel Plays,2,102,198,302,0.6556291390728477,4602,0.06562364189482833,Q1
158,BARLEY,hotZone,Quarter Pounder,2,611,1097,1710,0.6415204678362573,34110,0.05013192612137203,Q1
159,BARLEY,hotZone,Ring of Fire,0,34,7,41,0.17073170731707318,24894,0.0016469832088053347,Q3
160,BARLEY,hotZone,Split,0,390,572,962,0.5945945945945946,29244,0.03289563671180413,Q1
161,BARLEY,knockout,Belle's Rock,0,138,90,228,0.39473684210526316,54234,0.00420400486779511,Q3
162,BARLEY,knockout,Flaring Phoenix,0,44,29,73,0.3972602739726027,20676,0.003530663571290385,Q3
163,BARLEY,knockout,Goldarm Gulch,0,4,11,15,0.7333333333333333,6720,0.002232142857142857,Q4
164,BARLEY,knockout,New Perspective,0,43,19,62,0.3064516129032258,32994,0.0018791295387040067,Q3
165,BARLEY,knockout,Out in the Open,0,37,34,71,0.4788732394366197,51246,0.0013854739882137143,Q4
166,BARLEY,knockout,Riverside,1,21,5,27,0.18518518518518517,31974,0.000844436104334772,Q3
167,BARLEY,knockout,X Marks the Spot,0,31,24,55,0.43636363636363634,43602,0.0012614100270629787,Q3
168,BEA,bounty,Canal Grande,0,82,80,162,0.49382716049382713,20526,0.007892429114294067,Q4
169,BEA,bounty,Dry Season,0,444,318,762,0.41732283464566927,29460,0.025865580448065174,Q2
170,BEA,bounty,Excel,0,90,67,157,0.4267515923566879,17316,0.009066759066759066,Q2
171,BEA,bounty,Hideout,0,164,84,248,0.3387096774193548,11538,0.021494193101057376,Q2
172,BEA,bounty,Layer Cake,0,95,88,183,0.4808743169398907,19848,0.009220072551390568,Q1
173,BEA,bounty,Shooting Star,0,428,292,720,0.40555555555555556,21186,0.033984706881903144,Q2
174,BEA,bounty,Temple Ruins,0,70,48,118,0.4067796610169492,7824,0.015081799591002046,Q2
175,BEA,brawlBall,Backyard Bowl,239,4400,4301,8940,0.481096196868009,133578,0.06692718860890266,Q1
176,BEA,brawlBall,Beach Ball,47,1111,1313,2471,0.5313638203156617,88080,0.02805404178019982,Q1
177,BEA,brawlBall,Center Stage,40,1053,921,2014,0.4572989076464747,170286,0.011827161363823216,Q2
178,BEA,brawlBall,Pinhole Punt,122,3504,3833,7459,0.5138758546722081,154962,0.04813438133219757,Q1
179,BEA,brawlBall,Sneaky Fields,65,2006,2643,4714,0.5606703436571914,118884,0.0396520978432758,Q1
180,BEA,brawlBall,Sunny Soccer,23,653,697,1373,0.507647487254188,74093,0.018530765389442996,Q1
181,BEA,brawlBall,Super Beach,155,4306,5003,9464,0.5286348267117498,199884,0.047347461527686055,Q1
182,BEA,gemGrab,Crystal Arcade,0,307,329,636,0.5172955974842768,29454,0.021592992462823386,Q1
183,BEA,gemGrab,Deep Diner,0,407,420,827,0.5078597339782346,42288,0.019556375331063185,Q1
184,BEA,gemGrab,Double Swoosh,0,224,278,502,0.5537848605577689,51096,0.00982464380773446,Q1
185,BEA,gemGrab,Gem Fort,0,112,95,207,0.45893719806763283,18906,0.010948905109489052,Q2
186,BEA,gemGrab,Hard Rock Mine,0,448,427,875,0.488,52902,0.016540017390646856,Q1
187,BEA,gemGrab,Minecart Madness,0,489,500,989,0.5055611729019212,40818,0.0242295065902298,Q1
188,BEA,gemGrab,Undermine,0,348,339,687,0.49344978165938863,33870,0.020283436669619133,Q1
189,BEA,heist,Bridge Too Far,2,783,654,1439,0.45448227936066715,45486,0.031636107813393134,Q2
190,BEA,heist,Hot Potato,0,90,117,207,0.5652173913043478,19140,0.010815047021943573,Q1
191,BEA,heist,Kaboom Canyon,1,166,210,377,0.5570291777188329,12288,0.030680338541666668,Q1
192,BEA,heist,Pit Stop,0,47,83,130,0.6384615384615384,22482,0.005782403700738369,Q4
193,BEA,heist,Safe Zone,1,282,271,554,0.4891696750902527,26196,0.021148266910978774,Q1
194,BEA,heist,Snaked Assault,2,458,837,1297,0.6453353893600616,27510,0.047146492184660126,Q1
195,BEA,heist,Tornado Ring,6,313,480,799,0.6007509386733417,28224,0.02830924036281179,Q1
196,BEA,hotZone,Controller Chaos,0,290,501,791,0.6333754740834386,19152,0.041301169590643276,Q1
197,BEA,hotZone,Dueling Beetles,2,531,639,1172,0.5452218430034129,32208,0.03638847491306508,Q1
198,BEA,hotZone,Open Zone,0,682,749,1431,0.5234102026554857,17556,0.08151059466848941,Q1
199,BEA,hotZone,Parallel Plays,0,53,63,116,0.5431034482758621,4602,0.025206431986093004,Q1
200,BEA,hotZone,Quarter Pounder,6,1130,1682,2818,0.5968772178850248,34110,0.08261506889475227,Q1
201,BEA,hotZone,Ring of Fire,2,670,807,1479,0.5456389452332657,24894,0.05941190648349,Q1
202,BEA,hotZone,Split,0,61,76,137,0.5547445255474452,29244,0.004684721652304746,Q4
203,BEA,knockout,Belle's Rock,1,364,230,595,0.3865546218487395,54234,0.01097097761551794,Q2
204,BEA,knockout,Flaring Phoenix,0,112,47,159,0.29559748427672955,20676,0.007690075449796866,Q3
205,BEA,knockout,Goldarm Gulch,0,36,19,55,0.34545454545454546,6720,0.00818452380952381,Q3
206,BEA,knockout,New Perspective,0,390,264,654,0.4036697247706422,32994,0.019821785779232586,Q2
207,BEA,knockout,Out in the Open,1,682,494,1177,0.41971112999150384,51246,0.022967646255317487,Q2
208,BEA,knockout,Riverside,0,703,432,1135,0.38061674008810575,31974,0.03549759179333208,Q2
209,BEA,knockout,X Marks the Spot,0,394,266,660,0.403030303030303,43602,0.015136920324755745,Q2
210,BELLE,bounty,Canal Grande,0,51,49,100,0.49,20526,0.004871869823638312,Q4
211,BELLE,bounty,Dry Season,0,488,474,962,0.49272349272349275,29460,0.032654446707399865,Q1
212,BELLE,bounty,Excel,0,95,211,306,0.6895424836601307,17316,0.017671517671517672,Q1
213,BELLE,bounty,Hideout,0,217,335,552,0.6068840579710145,11538,0.04784191367654706,Q1
214,BELLE,bounty,Layer Cake,0,118,139,257,0.5408560311284046,19848,0.012948407900040306,Q1
215,BELLE,bounty,Shooting Star,0,456,463,919,0.5038084874863983,21186,0.04337770225620693,Q1
216,BELLE,bounty,Temple Ruins,0,56,64,120,0.5333333333333333,7824,0.015337423312883436,Q1
217,BELLE,brawlBall,Backyard Bowl,81,1221,1423,2725,0.5222018348623854,133578,0.02040006587911183,Q1
218,BELLE,brawlBall,Beach Ball,1,128,108,237,0.45569620253164556,88080,0.002690735694822888,Q3
219,BELLE,brawlBall,Center Stage,8,147,127,282,0.450354609929078,170286,0.0016560374898699835,Q3
220,BELLE,brawlBall,Pinhole Punt,16,441,503,960,0.5239583333333333,154962,0.006195067177759709,Q4
221,BELLE,brawlBall,Sneaky Fields,4,135,118,257,0.4591439688715953,118884,0.002161771138252414,Q3
222,BELLE,brawlBall,Sunny Soccer,2,62,79,143,0.5524475524475524,74093,0.0019300068832413318,Q4
223,BELLE,brawlBall,Super Beach,17,417,490,924,0.5303030303030303,199884,0.00462268115506994,Q4
224,BELLE,gemGrab,Crystal Arcade,0,196,167,363,0.46005509641873277,29454,0.012324302301894479,Q2
225,BELLE,gemGrab,Deep Diner,0,216,292,508,0.5748031496062992,42288,0.012012864169504351,Q1
226,BELLE,gemGrab,Double Swoosh,0,93,88,181,0.4861878453038674,51096,0.003542351651792704,Q4
227,BELLE,gemGrab,Gem Fort,0,40,35,75,0.4666666666666667,18906,0.003966994604887337,Q3
228,BELLE,gemGrab,Hard Rock Mine,0,383,398,781,0.5096030729833547,52902,0.014763146950965938,Q1
229,BELLE,gemGrab,Minecart Madness,0,415,543,958,0.5668058455114823,40818,0.023470037728453134,Q1
230,BELLE,gemGrab,Undermine,0,159,198,357,0.5546218487394958,33870,0.01054030115146147,Q1
231,BELLE,heist,Bridge Too Far,7,1058,1046,2111,0.4954997631454287,45486,0.046409884360022864,Q1
232,BELLE,heist,Hot Potato,0,14,12,26,0.46153846153846156,19140,0.0013584117032392894,Q3
233,BELLE,heist,Kaboom Canyon,1,128,121,250,0.484,12288,0.020345052083333332,Q1
234,BELLE,heist,Pit Stop,0,3,0,3,0.0,22482,0.00013344008540165466,Q3
235,BELLE,heist,Safe Zone,5,442,465,912,0.5098684210526315,26196,0.03481447549244159,Q1
236,BELLE,heist,Snaked Assault,0,29,10,39,0.2564102564102564,27510,0.0014176663031624864,Q3
237,BELLE,heist,Tornado Ring,0,20,22,42,0.5238095238095238,28224,0.001488095238095238,Q4
238,BELLE,hotZone,Controller Chaos,0,12,15,27,0.5555555555555556,19152,0.0014097744360902255,Q4
239,BELLE,hotZone,Dueling Beetles,1,133,178,312,0.5705128205128205,32208,0.009687034277198211,Q1
240,BELLE,hotZone,Open Zone,0,166,205,371,0.5525606469002695,17556,0.02113237639553429,Q1
241,BELLE,hotZone,Parallel Plays,0,11,4,15,0.26666666666666666,4602,0.003259452411994785,Q3
242,BELLE,hotZone,Quarter Pounder,1,116,213,330,0.6454545454545455,34110,0.009674582233948988,Q1
243,BELLE,hotZone,Ring of Fire,0,151,171,322,0.531055900621118,24894,0.012934843737446773,Q1
244,BELLE,hotZone,Split,0,14,8,22,0.36363636363636365,29244,0.0007522910682533169,Q3
245,BELLE,knockout,Belle's Rock,0,740,817,1557,0.5247270391779062,54234,0.02870892797875871,Q1
246,BELLE,knockout,Flaring Phoenix,0,136,115,251,0.4581673306772908,20676,0.012139678854710775,Q2
247,BELLE,knockout,Goldarm Gulch,0,55,80,135,0.5925925925925926,6720,0.020089285714285716,Q1
248,BELLE,knockout,New Perspective,0,273,317,590,0.5372881355932203,32994,0.017882039158634903,Q1
249,BELLE,knockout,Out in the Open,0,668,670,1338,0.5007473841554559,51246,0.026109354876478166,Q1
250,BELLE,knockout,Riverside,1,707,719,1427,0.50385423966363,31974,0.04463001188465628,Q1
251,BELLE,knockout,X Marks the Spot,2,506,545,1053,0.5175688509021842,43602,0.024150268336314847,Q1
252,BIBI,bounty,Canal Grande,0,132,72,204,0.35294117647058826,20526,0.009938614440222157,Q2
253,BIBI,bounty,Dry Season,0,44,29,73,0.3972602739726027,29460,0.0024779361846571624,Q3
254,BIBI,bounty,Excel,0,84,80,164,0.4878048780487805,17316,0.009471009471009472,Q1
255,BIBI,bounty,Hideout,0,16,12,28,0.42857142857142855,11538,0.0024267637372161555,Q3
256,BIBI,bounty,Layer Cake,0,91,68,159,0.4276729559748428,19848,0.008010882708585248,Q3
257,BIBI,bounty,Shooting Star,0,25,11,36,0.3055555555555556,21186,0.0016992353440951572,Q3
258,BIBI,bounty,Temple Ruins,0,29,22,51,0.43137254901960786,7824,0.00651840490797546,Q3
259,BIBI,brawlBall,Backyard Bowl,27,1158,896,2081,0.43056222969726093,133578,0.0155789126952043,Q2
260,BIBI,brawlBall,Beach Ball,35,1629,1357,3021,0.4491890102615028,88080,0.034298365122615804,Q2
261,BIBI,brawlBall,Center Stage,66,2868,2344,5278,0.4441076165214096,170286,0.030994914438063022,Q2
262,BIBI,brawlBall,Pinhole Punt,50,2358,2046,4454,0.4593623709025595,154962,0.028742530426814315,Q2
263,BIBI,brawlBall,Sneaky Fields,35,2461,2151,4647,0.46287927695287284,118884,0.03908852326637731,Q2
264,BIBI,brawlBall,Sunny Soccer,25,1539,1328,2892,0.45919778699861685,74093,0.039032027317020504,Q2
265,BIBI,brawlBall,Super Beach,83,4273,3999,8355,0.4786355475763016,199884,0.041799243561265534,Q1
