,playertag,battle_time,event.id,event.map,battle.mode,battle.type,battle.result,battle.duration,battle.star_player.tag,battle.star_player.name,battle.star_player.brawler.id,battle.star_player.brawler.name,battle.star_player.brawler.power,battle.star_player.brawler.trophies,event.mode,battle.trophy_change,battle.team1.player1.tag,battle.team1.player1.name,battle.team1.player1.brawler.id,battle.team1.player1.brawler.name,battle.team1.player1.brawler.power,battle.team1.player1.brawler.trophies,battle.team1.player2.tag,battle.team1.player2.name,battle.team1.player2.brawler.id,battle.team1.player2.brawler.name,battle.team1.player2.brawler.power,battle.team1.player2.brawler.trophies,battle.team1.player3.tag,battle.team1.player3.name,battle.team1.player3.brawler.id,battle.team1.player3.brawler.name,battle.team1.player3.brawler.power,battle.team1.player3.brawler.trophies,battle.team2.player1.tag,battle.team2.player1.name,battle.team2.player1.brawler.id,battle.team2.player1.brawler.name,battle.team2.player1.brawler.power,battle.team2.player1.brawler.trophies,battle.team2.player2.tag,battle.team2.player2.name,battle.team2.player2.brawler.id,battle.team2.player2.brawler.name,battle.team2.player2.brawler.power,battle.team2.player2.brawler.trophies,battle.team2.player3.tag,battle.team2.player3.name,battle.team2.player3.brawler.id,battle.team2.player3.brawler.name,battle.team2.player3.brawler.power,battle.team2.player3.brawler.trophies
788,#9Q9C9JU0,20230101T133928.000Z,15000024,Backyard Bowl,brawlBall,ranked,defeat,112.0,#P9QGQPJ0,nezel °〰️°,16000032.0,MAX,10.0,861.0,brawlBall,-11.0,#LJY88PRJ,tezel._.,16000018.0,DARRYL,11.0,987.0,#P9QGQPJ0,nezel °〰️°,16000032.0,MAX,10.0,861.0,#PLCP9LU2J,✨Lil Solymi,16000015.0,PIPER,11.0,808.0,#2UJC8882,VV|Layz风,16000032.0,MAX,11.0,1034.0,#2GY2VY0R0,Marco™️ ⚡,16000062.0,BUSTER,11.0,383.0,#9Q9C9JU0,Lavastoviglie™️,16000015.0,PIPER,11.0,1009.0
789,#9Q9C9JU0,20230101T133633.000Z,15000024,Backyard Bowl,brawlBall,ranked,victory,47.0,#2GY2VY0R0,Marco™️ ⚡,16000062.0,BUSTER,11.0,375.0,brawlBall,5.0,#2UJC8882,VV|Layz风,16000032.0,MAX,11.0,1029.0,#9Q9C9JU0,Lavastoviglie™️,16000015.0,PIPER,11.0,1004.0,#2GY2VY0R0,Marco™️ ⚡,16000062.0,BUSTER,11.0,375.0,#2LV8CQ0YP,Fint_Niceeee,16000005.0,SPIKE,10.0,1073.0,#20RCPJURL,ALL|Sweatzz,16000025.0,CARL,10.0,1020.0,#8VLVY00L0,Fort⚓,16000032.0,MAX,11.0,1016.0
790,#9Q9C9JU0,20221231T122318.000Z,15000051,Super Beach,brawlBall,ranked,victory,45.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,994.0,brawlBall,5.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1026.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,994.0,#PPG8C2P2,Zimon,16000051.0,ASH,11.0,1008.0,#28JJRJR8,𝔅i𝔩o𝔱𝔱a🃏,16000063.0,CHESTER,11.0,824.0,#RJC2GGU,AlesNic💧,16000049.0,BUZZ,10.0,974.0,#QJPRP8J8,Sardo,16000019.0,PENNY,11.0,853.0
791,#9Q9C9JU0,20221231T122128.000Z,15000051,Super Beach,brawlBall,ranked,victory,92.0,#PPG8C2P2,Zimon,16000051.0,ASH,11.0,1003.0,brawlBall,5.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1021.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,988.0,#PPG8C2P2,Zimon,16000051.0,ASH,11.0,1003.0,#98V8L90GJ,🖤Pau167🥀,16000063.0,CHESTER,11.0,851.0,#VP2CJ209,•Denis🍉,16000008.0,NITA,10.0,899.0,#29V99Q2CJ,ヅCaͥrnͣoͫᴳᵒᵈ,16000010.0,EL PRIMO,10.0,863.0
792,#9Q9C9JU0,20221231T120856.000Z,15000051,Super Beach,brawlBall,ranked,victory,77.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1016.0,brawlBall,5.0,#JLLJ0UGC,Curve🤕,16000047.0,SQUEAK,10.0,926.0,#CC0RCVV,Arturo🧸,16000008.0,NITA,10.0,850.0,#LCG9JUV0,den,16000030.0,EMZ,11.0,784.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,985.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1016.0,#9RLRPGGL,Jackstyle™️🦁,16000038.0,SURGE,11.0,993.0
793,#9Q9C9JU0,20221231T120542.000Z,15000051,Super Beach,brawlBall,ranked,defeat,183.0,#PC8PY92YL,•iᑭαʙʟσ💔🐅,16000013.0,POCO,10.0,926.0,brawlBall,-11.0,#29UPPVC0R,『ᴅɪᴇɢᴏᶜʰⁱˡˡ』,16000062.0,BUSTER,11.0,891.0,#88UUL0CVY,Moshy♛,16000034.0,JACKY,11.0,879.0,#PC8PY92YL,•iᑭαʙʟσ💔🐅,16000013.0,POCO,10.0,926.0,#2YR2GVYV8,Alp♛,16000038.0,SURGE,11.0,1068.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,995.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1027.0
794,#9Q9C9JU0,20221231T120116.000Z,15000051,Super Beach,brawlBall,ranked,victory,162.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,989.0,brawlBall,5.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,989.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1022.0,#2YR2GVYV8,Alp♛,16000038.0,SURGE,11.0,1063.0,#2VU8L92GP,Infernø 左,16000019.0,PENNY,10.0,955.0,#80UP00GQ9,Cookie🍻,16000060.0,SAM,11.0,922.0,#90PPPCRGY,мιкє❤️‍🔥,16000049.0,BUZZ,10.0,977.0
795,#9Q9C9JU0,20221231T115818.000Z,15000051,Super Beach,brawlBall,ranked,victory,40.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1017.0,brawlBall,5.0,#8VUJQJ08R,G0|Omega正義,16000003.0,BROCK,11.0,874.0,#VLR020RQ,kendy|シュガー,16000054.0,FANG,11.0,841.0,#20PYLPVQJ,NE PIDR,16000020.0,FRANK,9.0,809.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1017.0,#2YR2GVYV8,Alp♛,16000038.0,SURGE,11.0,1058.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,983.0
796,#9Q9C9JU0,20221231T115537.000Z,15000051,Super Beach,brawlBall,ranked,defeat,71.0,#QLVP829R,Gas,16000045.0,STU,10.0,1055.0,brawlBall,-11.0,#2YR2GVYV8,Alp♛,16000038.0,SURGE,11.0,1069.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1028.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,993.0,#8JVV0P808,Yusuf🐍❤️🐁,16000032.0,MAX,10.0,1067.0,#QLVP829R,Gas,16000045.0,STU,10.0,1055.0,#2VJCCCQGP,CMG | GeRo,16000019.0,PENNY,11.0,1076.0
797,#9Q9C9JU0,20221231T115410.000Z,15000051,Super Beach,brawlBall,ranked,victory,104.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,987.0,brawlBall,5.0,#2YR2GVYV8,Alp♛,16000038.0,SURGE,11.0,1064.0,#88RR9R0PL,TIM|IANNO🎭,16000032.0,MAX,10.0,987.0,#9Q9C9JU0,Lavastoviglie™️,16000009.0,DYNAMIKE,11.0,1023.0,#88GJPL89L,『みTɘmpɘꙅƚ🥊』,16000029.0,BEA,10.0,943.0,#29LG8R0,「☞𝑱𝒖𝒂𝒏🧸」,16000009.0,DYNAMIKE,11.0,959.0,#9CY92U8QV,Martín,16000059.0,OTIS,10.0,902.0
