,brawlername,event.mode,event.map,d,n,y,total_games,winrate,total_games_map,userate
2028,CHESTER,bounty,Temple Ruins,0,9,2,11,0.18181818181818182,318,0.03459119496855346
2029,CHESTER,bounty,Shooting Star,0,36,14,50,0.28,19854,0.0025183842046942683
2030,CHESTER,bounty,Layer Cake,0,36,37,73,0.5068493150684932,2046,0.03567937438905181
2031,CHESTER,bounty,Hideout,0,42,38,80,0.475,6774,0.0118098612341305
2032,CHESTER,bounty,Excel,0,6,8,14,0.5714285714285714,624,0.022435897435897436
2033,CHESTER,bounty,Dry Season,0,83,64,147,0.43537414965986393,27690,0.005308775731310942
2034,CHESTER,bounty,Canal Grande,0,24,70,94,0.7446808510638298,2118,0.044381491973559964
2035,CARL,knockout,X Marks the Spot,0,252,203,455,0.4461538461538462,36294,0.012536507411693393
2036,CARL,knockout,Riverside,0,14,11,25,0.44,2958,0.008451656524678837
2037,CARL,knockout,Out in the Open,2,470,440,912,0.4824561403508772,48006,0.018997625296837895
2038,CARL,knockout,New Perspective,0,7,7,14,0.5,1734,0.008073817762399077
2039,CARL,knockout,Goldarm Gulch,0,38,24,62,0.3870967741935484,6324,0.00980392156862745
2040,CARL,knockout,Flaring Phoenix,0,15,35,50,0.7,2112,0.023674242424242424
2041,CARL,knockout,Belle`s Rock,0,38,38,76,0.5,2550,0.02980392156862745
2042,CARL,knockout,Belle's Rock,0,49,42,91,0.46153846153846156,4614,0.019722583441699176
2043,CARL,hotZone,Split,0,46,52,98,0.5306122448979592,28626,0.003423461189128764
2044,CARL,hotZone,Ring of Fire,1,167,220,388,0.5670103092783505,21942,0.017682982408166986
2045,CARL,hotZone,Quarter Pounder,1,55,118,174,0.6781609195402298,8454,0.0205819730305181
2046,CARL,hotZone,Parallel Plays,0,23,15,38,0.39473684210526316,4506,0.008433200177541057
2047,CARL,hotZone,Open Zone,0,15,34,49,0.6938775510204082,2070,0.023671497584541065
2048,CARL,hotZone,Dueling Beetles,0,47,77,124,0.6209677419354839,3936,0.031504065040650404
2049,CARL,hotZone,Controller Chaos,0,23,27,50,0.54,6138,0.008145975887911373
2050,CARL,heist,Tornado Ring,0,101,82,183,0.44808743169398907,27540,0.006644880174291939
2051,CARL,heist,Snaked Assault,0,12,5,17,0.29411764705882354,3450,0.004927536231884058
2052,CARL,heist,Safe Zone,0,16,11,27,0.4074074074074074,1272,0.02122641509433962
2053,CARL,heist,Pit Stop,0,43,52,95,0.5473684210526316,10698,0.0088801645167321
2054,CARL,heist,Kaboom Canyon,1,120,143,264,0.5416666666666666,11694,0.022575679835813236
2055,CARL,heist,Hot Potato,0,4,3,7,0.42857142857142855,1032,0.006782945736434108
2056,CARL,heist,Bridge Too Far,0,49,38,87,0.4367816091954023,7194,0.012093411175979984
2057,CARL,gemGrab,Undermine,0,163,172,335,0.5134328358208955,21894,0.015300995706586279
2058,CARL,gemGrab,Minecart Madness,0,112,150,262,0.5725190839694656,7014,0.03735386370116909
2059,CARL,gemGrab,Hard Rock Mine,0,260,372,632,0.5886075949367089,29532,0.021400514695923068
2060,CARL,gemGrab,Gem Fort,0,47,68,115,0.591304347826087,8322,0.013818793559240566
2061,CARL,gemGrab,Double Swoosh,0,41,29,70,0.4142857142857143,7620,0.009186351706036745
2062,CARL,gemGrab,Deep Diner,0,291,363,654,0.555045871559633,28542,0.02291360100903931
2063,CARL,gemGrab,Crystal Arcade,0,72,114,186,0.6129032258064516,6996,0.026586620926243566
2064,CARL,brawlBall,Super Beach,17,766,847,1630,0.5196319018404908,116040,0.014046880386073768
2065,CARL,brawlBall,Sunny Soccer,8,223,315,546,0.5769230769230769,28529,0.01913842055452347
2066,CARL,brawlBall,Sneaky Fields,6,304,277,587,0.47189097103918226,88416,0.006639069851610569
2067,CARL,brawlBall,Pinhole Punt,20,756,904,1680,0.5380952380952381,83670,0.020078881319469343
2068,CARL,brawlBall,Center Stage,0,88,57,145,0.3931034482758621,19224,0.0075426550145651266
2069,CARL,brawlBall,Beach Ball,3,148,186,337,0.5519287833827893,16080,0.02095771144278607
2070,CARL,brawlBall,Backyard Bowl,7,148,193,348,0.5545977011494253,17916,0.01942397856664434
2071,CARL,bounty,Temple Ruins,0,0,4,4,1.0,318,0.012578616352201259
2072,CARL,bounty,Shooting Star,0,68,61,129,0.4728682170542636,19854,0.006497431248111212
2073,CARL,bounty,Layer Cake,0,24,30,54,0.5555555555555556,2046,0.026392961876832845
2074,CARL,bounty,Hideout,0,42,34,76,0.4473684210526316,6774,0.011219368172423975
2075,CARL,bounty,Excel,0,5,12,17,0.7058823529411765,624,0.027243589743589744
2076,CARL,bounty,Dry Season,0,223,280,503,0.5566600397614314,27690,0.018165402672444927
2077,CARL,bounty,Canal Grande,0,27,40,67,0.5970149253731343,2118,0.03163361661945231
2078,BYRON,knockout,X Marks the Spot,2,157,164,323,0.5077399380804953,36294,0.0088995426241252
2079,BYRON,knockout,Riverside,0,27,20,47,0.425531914893617,2958,0.015889114266396213
2080,BYRON,knockout,Out in the Open,0,332,287,619,0.46365105008077545,48006,0.012894221555638878
2081,BYRON,knockout,New Perspective,0,7,7,14,0.5,1734,0.008073817762399077
2082,BYRON,knockout,Goldarm Gulch,0,20,11,31,0.3548387096774194,6324,0.004901960784313725
2083,BYRON,knockout,Flaring Phoenix,0,7,8,15,0.5333333333333333,2112,0.007102272727272727
2084,BYRON,knockout,Belle`s Rock,0,15,12,27,0.4444444444444444,2550,0.010588235294117647
2085,BYRON,knockout,Belle's Rock,0,16,36,52,0.6923076923076923,4614,0.011270047680970958
2086,BYRON,hotZone,Split,0,26,15,41,0.36585365853658536,28626,0.0014322643750436666
2087,BYRON,hotZone,Ring of Fire,0,71,30,101,0.297029702970297,21942,0.004603044389754808
