brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,292,18409,28457,47158,0.6034395012511132,1639487,0.02876387552935766,1.1922731362060628,2.0093740679193832,Q1
ASH,191,9786,13843,23820,0.5811502938706969,1639487,0.014528934965632543,1.1482342174214977,1.0149558992713794,Q1
GRAY,204,14405,18786,33395,0.5625393022907621,1639487,0.020369176455805993,1.111462701382345,1.4229409007627083,Q1
PENNY,126,10943,13175,24244,0.5434334268272563,1639487,0.01478755244780837,1.0737133959232097,1.0330222847160084,Q1
CARL,152,11507,13078,24737,0.5286817318187331,1639487,0.015088256265526961,1.0445670612273508,1.0540287187353532,Q1
JACKY,322,14433,15982,30737,0.5199596577414842,1639487,0.01874793761707168,1.0273340252846543,1.309685116536708,Q1
MAX,288,17474,18769,36531,0.5137828145958228,1639487,0.022281969908880032,1.0151298455220406,1.5565639780135498,Q1
BEA,568,24441,26284,51293,0.5124285964946484,1639487,0.031286005927463896,1.0124541873007167,2.1855639354041503,Q1
RICO,253,15873,16561,32687,0.5066540214764279,1639487,0.019937334056323718,1.0010448071508316,1.3927734458221486,Q1
