event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
gemGrab,1,537,794,1332,0.5960960960960962,228600,0.005826771653543307,1.0462801513818487,1.1560274846964727,Q1
hotZone,0,479,663,1142,0.5805604203152365,136296,0.008378822562657744,1.019011613113823,1.6623526281379262,Q1
heist,7,1213,1647,2867,0.574468085106383,155880,0.018392353092122147,1.0083182208129269,3.649030191496474,Q1
brawlBall,60,1436,1943,3439,0.5649898226228555,808433,0.004253908487159727,0.9916817791870729,0.8439725153035272,Q3
bounty,0,130,145,275,0.5272727272727272,115668,0.002377494207559567,0.9254799562074203,0.47169321402429876,Q3
knockout,0,288,291,579,0.5025906735751295,194610,0.0029751811314937568,0.8821575069441822,0.5902738882629135,Q3
