event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
bounty,0,278,403,681,0.591776798825257,115668,0.005887540201265692,1.0667647787439032,0.4710526356130655,Q4
hotZone,1,859,1134,1994,0.5687061183550652,136296,0.014629923108528496,1.0251764816087148,1.1705166510128164,Q1
brawlBall,146,5696,7300,13142,0.5554710089788465,808433,0.01625613996459818,1.0013182489889152,1.3006276498243976,Q1
gemGrab,0,1057,1313,2370,0.5540084388185654,228600,0.01036745406824147,0.9986817510110849,0.8294833489871835,Q3
heist,4,1164,1410,2578,0.5469356089992242,155880,0.016538362843212726,0.9859319342688595,1.323207849068406,Q2
knockout,1,417,414,832,0.49759615384615385,194610,0.0042752171008684035,0.896990304478382,0.34205325387827945,Q3
