event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
heist,2,700,1033,1735,0.5953890489913545,155880,0.011130356684629202,1.065929751303958,1.5128696427040702,Q1
bounty,0,463,650,1113,0.5840071877807727,115668,0.00962236746550472,1.0455527146249584,1.3078994718658796,Q1
gemGrab,0,503,661,1164,0.5678694158075601,228600,0.005091863517060367,1.0166611330697588,0.6921005281341204,Q4
brawlBall,32,1272,1589,2893,0.5492568268233667,808433,0.0035785278433710646,0.9833388669302414,0.48640365203064534,Q3
knockout,4,998,1141,2143,0.5324311712552496,194610,0.011011767123991573,0.9532157619023061,1.4967506133401645,Q2
hotZone,0,205,233,438,0.5319634703196348,136296,0.0032135939425955275,0.9523784331962623,0.4368008014014894,Q3
