event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
hotZone,1,848,923,1772,0.5208803611738149,136296,0.013001115219815696,1.2390032776448885,3.7953964973994156,Q1
brawlBall,140,4396,3882,8418,0.46115466856735565,808433,0.010412736738851581,1.09693547395144,3.0397749638234304,Q1
gemGrab,0,561,446,1007,0.4428997020854022,228600,0.004405074365704287,1.0535129051806231,1.2859668986623298,Q1
bounty,0,115,76,191,0.39790575916230364,115668,0.0016512777950686446,0.9464870948193769,0.48205510478706526,Q3
heist,0,159,94,253,0.3715415019762846,155880,0.0016230433666923273,0.8837751872470925,0.47381266952257195,Q3
knockout,2,299,175,476,0.36764705882352944,194610,0.002445917475977596,0.8745115862543587,0.7140331013376703,Q3
