event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
heist,12,2215,2550,4777,0.5338078291814946,155880,0.03064536823197331,1.0941298708867913,5.120670123172241,Q1
bounty,0,232,230,462,0.49783549783549785,115668,0.0039941902687000725,1.0203984640030783,0.6674069184085887,Q4
brawlBall,108,5760,5785,11653,0.49643868531708574,808433,0.014414305205255105,1.0175354593469519,2.4085500116075163,Q1
hotZone,0,403,371,774,0.479328165374677,136296,0.005678816693079768,0.982464540653048,0.9488985988063907,Q3
gemGrab,0,798,640,1438,0.44506258692628653,228600,0.0062904636920384956,0.9122314139095066,1.0511014011936095,Q2
knockout,0,305,197,502,0.39243027888446214,194610,0.002579518010379734,0.8043525532892444,0.431023073632216,Q3
