event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
bounty,0,1317,1752,3069,0.570869990224829,115668,0.02653283535636477,1.2169803444331202,1.4726318875905895,Q1
brawlBall,217,9024,8741,17982,0.48609720831943054,808433,0.02224303065312772,1.0362617726245813,1.2345381025625393,Q1
gemGrab,0,1981,1821,3802,0.4789584429247764,228600,0.01663167104111986,1.0210433563168826,0.9230950552442485,Q4
knockout,7,2035,1734,3776,0.4592161016949153,194610,0.01940290838086429,0.9789566436831176,1.0769049447557515,Q2
heist,5,400,296,701,0.4222539229671897,155880,0.0044970490120605595,0.9001606905426304,0.24959630911174047,Q3
hotZone,1,654,452,1107,0.4083107497741644,136296,0.00812202852614897,0.8704366412748528,0.4507908046343864,Q3
