event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
heist,18,4269,4666,8953,0.5211660895789121,155880,0.05743520656915576,1.1728925143706805,4.235425158624192,Q1
brawlBall,289,14672,12767,27728,0.46043710328909404,808433,0.03429845144866674,1.036220971749406,2.529259192140637,Q1
hotZone,0,1295,1097,2392,0.45861204013377926,136296,0.017550038152256853,1.032113638298659,1.29418657240107,Q1
gemGrab,0,1247,941,2188,0.43007312614259596,228600,0.009571303587051619,0.9678863617013408,0.70581342759893,Q3
bounty,0,360,258,618,0.4174757281553398,115668,0.0053428778918975,0.9395357186045515,0.39399805092634993,Q3
knockout,2,317,182,501,0.36327345309381237,194610,0.002574379528287344,0.8175526426663381,0.1898416054067231,Q3
