event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
hotZone,1,807,1124,1932,0.5817805383022774,136296,0.014175030815284382,1.0848252739583577,2.2036687105204815,Q1
gemGrab,0,957,1221,2178,0.5606060606060606,228600,0.00952755905511811,1.0453419859220217,1.4811667114516003,Q1
bounty,0,132,155,287,0.5400696864111498,115668,0.0024812394093439846,1.0070485465658048,0.38573670286387757,Q4
brawlBall,65,1524,1810,3399,0.5325095616357752,808433,0.004204430051717335,0.9929514534341953,0.6536261593555923,Q3
heist,3,666,681,1350,0.5044444444444445,155880,0.008660508083140877,0.9406194374224462,1.346373840644408,Q2
knockout,0,258,177,435,0.4068965517241379,194610,0.00223523971018961,0.7587253854949398,0.34749326996499313,Q3
