event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
hotZone,1,1217,1686,2904,0.5805785123966942,136296,0.021306568057756648,1.147837412919625,2.854758357762323,Q1
bounty,0,411,471,882,0.5340136054421769,115668,0.007625272331154684,1.05577588947317,1.0216713390241596,Q1
brawlBall,56,2459,2608,5123,0.5090767128635565,808433,0.0063369506192844675,1.0064742056310705,0.8490556852746463,Q4
gemGrab,0,1181,1193,2374,0.5025273799494524,228600,0.010384951881014874,0.9935257943689293,1.391426723295963,Q2
knockout,2,747,672,1421,0.4729064039408867,194610,0.00730178305328606,0.9349634057447443,0.9783286609758401,Q3
heist,1,302,235,538,0.4368029739776952,155880,0.003451372850910957,0.8635848294426315,0.46243184097896556,Q3
