event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
hotZone,4,1685,1875,3564,0.5260942760942761,136296,0.026148969889064975,1.0478527082254718,1.5758957851266306,Q1
heist,8,1374,1504,2886,0.5211365211365211,155880,0.01851424172440339,1.037978058005421,1.1157806836017654,Q1
gemGrab,0,1682,1714,3396,0.5047114252061249,228600,0.014855643044619423,1.0052632347587134,0.8952913005246729,Q4
brawlBall,239,7179,7401,14819,0.4994264120385991,808433,0.0183305233705205,0.9947367652412865,1.104708699475327,Q2
bounty,0,217,133,350,0.38,115668,0.0030259017187121763,0.7568682025620912,0.18235922045709527,Q3
knockout,0,308,188,496,0.3790322580645161,194610,0.0025486871178253944,0.7549406944061606,0.15359936944465227,Q3
