event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
heist,15,3659,3004,6678,0.4498352800239593,155880,0.04284064665127021,1.0327947386005771,1.5230308980395402,Q1
knockout,6,5640,4517,10163,0.4444553773492079,194610,0.052222393504958636,1.0204428057411303,1.8565620525075148,Q1
brawlBall,108,3538,2905,6551,0.4434437490459472,808433,0.008103330764577893,1.018120168021449,0.288082092503162,Q4
bounty,0,3406,2545,5951,0.4276592169383297,115668,0.05144897465158903,0.9818798319785512,1.8290661834466004,Q2
gemGrab,0,1822,1245,3067,0.4059341375937398,228600,0.013416447944006999,0.932000356892521,0.4769691019604596,Q3
hotZone,1,540,197,738,0.2669376693766938,136296,0.0054146856840993135,0.6128728285870901,0.19249787864280773,Q3
