event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
gemGrab,0,2176,2485,4661,0.5331473932632482,228600,0.020389326334208223,1.0414562479649712,1.0438930000245952,Q1
brawlBall,283,10626,11791,22700,0.5194273127753304,808433,0.02807901211355796,1.014655284990612,1.4375896345222345,Q1
heist,3,1465,1581,3049,0.518530665792063,155880,0.019559917885552988,1.0129037644641266,1.001428935272253,Q1
bounty,0,1116,1140,2256,0.5053191489361702,115668,0.019504097935470484,0.9870962355358736,0.9985710647277471,Q3
hotZone,0,796,726,1522,0.47700394218134035,136296,0.011166872101895873,0.9317849851014613,0.5717216659474158,Q3
knockout,2,1295,1046,2343,0.44643619291506614,194610,0.012039463542469554,0.8720735922261538,0.6163966140926124,Q3
