event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
hotZone,3,1387,1501,2891,0.5191975095122795,136296,0.021211187415624815,1.0323493768874894,1.3810544980258175,Q1
gemGrab,0,2962,3157,6119,0.5159339761398921,228600,0.026767279090113737,1.0258603113937035,1.7428100776707534,Q1
brawlBall,289,9577,10020,19886,0.5038720708035804,808433,0.02459820418018562,1.0018769520172026,1.6015822151181593,Q1
bounty,0,502,506,1008,0.501984126984127,115668,0.008714596949891068,0.9981230479827973,0.5674049773971415,Q3
heist,4,630,535,1169,0.4576561163387511,155880,0.007499358480882731,0.9099831911267746,0.488281139541573,Q3
knockout,1,1075,774,1850,0.4183783783783784,194610,0.00950619187092133,0.8318850732312729,0.6189455019741825,Q3
