event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
bounty,0,2253,3796,6049,0.6275417424367664,115668,0.05229622713282844,1.042039804222865,2.263030402634472,Q1
brawlBall,263,6493,10666,17422,0.6122144415107336,808433,0.021550332556934216,1.0165886563929059,0.9325540375858455,Q4
gemGrab,0,2214,3425,5639,0.6073771945380386,228600,0.02466754155730534,1.0085563558341704,1.0674459624141543,Q1
knockout,16,5405,8033,13454,0.5970715028987662,194610,0.06913313807101382,0.9914436441658294,2.991619125541482,Q2
hotZone,2,608,829,1439,0.576094510076442,136296,0.010557903386746493,0.9566111222544097,0.4568753361805381,Q3
heist,11,1436,1708,3155,0.5413629160063391,155880,0.020239928149858866,0.8989389372223442,0.8758485126265476,Q3
