event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
knockout,3,2526,3296,5825,0.5658369098712447,194610,0.029931658188171215,1.109920424620678,7.413554635531027,Q1
bounty,0,1407,1756,3163,0.5551691432184634,115668,0.02734550610367604,1.0889950097414973,6.773009442422604,Q1
heist,4,449,565,1018,0.5550098231827112,155880,0.006530664613805491,1.088682494671081,1.6175328014372954,Q1
gemGrab,0,189,164,353,0.46458923512747874,228600,0.0015441819772528435,0.9113175053289192,0.38246719856270467,Q3
brawlBall,16,531,439,986,0.44523326572008115,808433,0.0012196434336549844,0.8733496997495833,0.3020846080235268,Q3
hotZone,0,93,51,144,0.3541666666666667,136296,0.0010565240359218173,0.6947175240699751,0.2616827512467561,Q3
