event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
gemGrab,0,3890,3746,7636,0.49057097957045576,228600,0.03340332458442695,1.0558679113412888,1.790153073647362,Q1
brawlBall,513,16528,15912,32953,0.4828695414681516,808433,0.04076157207832931,1.0392919178519793,2.184496736493678,Q1
hotZone,1,1833,1611,3445,0.4676342525399129,136296,0.02527587016493514,1.0065006330649628,1.354586024828359,Q1
bounty,0,750,643,1393,0.46159368269921036,115668,0.012043088840474461,0.9934993669350372,0.645413975171641,Q3
heist,2,446,352,800,0.44,155880,0.005132152938157557,0.9470227558037683,0.27504266329688465,Q3
knockout,2,578,302,882,0.3424036281179138,194610,0.004532141205487899,0.7369636988578077,0.24288679675287506,Q3
