event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
bounty,0,886,858,1744,0.4919724770642202,115668,0.015077635992668672,1.0580989947246706,2.097237939456829,Q1
brawlBall,60,1587,1500,3147,0.47664442326024786,808433,0.0038927159084302596,1.0251325198156451,0.5414609753582541,Q4
gemGrab,0,1111,969,2080,0.4658653846153846,228600,0.009098862642169728,1.0019497393026218,1.2656148449493938,Q1
knockout,2,1392,1207,2601,0.46405228758169936,194610,0.01336519192230615,0.9980502606973781,1.8590439231462856,Q2
heist,4,449,370,823,0.44957472660996356,155880,0.005279702335129587,0.9669129645590433,0.7343851550506063,Q3
hotZone,1,325,264,590,0.44745762711864406,136296,0.004328813758290779,0.9623596593480186,0.6021204153717776,Q3
