event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
bounty,0,914,1074,1988,0.540241448692153,115668,0.01718712176228516,1.09124050229591,2.7613383511636633,Q1
knockout,3,1019,1159,2181,0.5314076111875287,194610,0.01120702944350239,1.073396922727768,1.8005574541789335,Q1
hotZone,1,590,643,1234,0.5210696920583469,136296,0.009053824030052239,1.0525152297541303,1.454616535837375,Q1
gemGrab,0,412,364,776,0.4690721649484536,228600,0.003394575678040245,0.9474847702458699,0.5453834641626252,Q3
brawlBall,28,848,763,1639,0.46552776082977426,808433,0.002027378892252048,0.940325383752718,0.3257252240919104,Q3
heist,0,81,39,120,0.325,145092,0.0008270614506657845,0.6564715908132098,0.13287835706755569,Q3
