event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
brawlBall,106,3341,3623,7070,0.5124469589816124,808433,0.00874531346444294,1.3111155332163946,0.7751490557164186,Q4
gemGrab,0,1804,1355,3159,0.4289332067109845,228600,0.013818897637795275,1.097442340469172,1.2248509442835815,Q1
hotZone,2,1322,863,2187,0.3946044810242341,136296,0.016045958795562597,1.0096109567629061,1.4222485973791432,Q1
heist,13,3833,2429,6275,0.38709163346613545,155880,0.040255324608673336,0.9903890432370939,3.568068427145701,Q2
knockout,0,337,199,536,0.3712686567164179,194610,0.0027542264015209907,0.9499053400270979,0.2441234385763915,Q3
bounty,0,218,87,305,0.28524590163934427,115668,0.0026368572120206105,0.7298127657326573,0.23372031045739086,Q3
