,brawlername,event.mode,event.map,total_games,total_draws,total_wins,winrate
1423,FRANK,brawlBall,Backyard Bowl,82,0.0,70.0,0.8536585365853658
1424,FRANK,bounty,Temple Ruins,1,0.0,1.0,1.0
1425,FRANK,bounty,Shooting Star,3,0.0,2.0,0.6666666666666666
1426,FRANK,bounty,Layer Cake,5,0.0,3.0,0.6
1427,FRANK,bounty,Hideout,5,0.0,3.0,0.6
1428,FRANK,bounty,Excel,4,0.0,2.0,0.5
1429,FRANK,bounty,Dry Season,3,0.0,3.0,1.0
1430,FANG,knockout,X Marks the Spot,78,0.0,58.0,0.7435897435897436
1431,FANG,knockout,Riverside,56,0.0,40.0,0.7142857142857143
1432,FANG,knockout,Out in the Open,30,0.0,24.0,0.8
1433,FANG,knockout,New Perspective,48,0.0,34.0,0.7083333333333334
1434,FANG,knockout,Goldarm Gulch,49,0.0,38.0,0.7755102040816326
1435,FANG,knockout,Flaring Phoenix,10,0.0,9.0,0.9
1436,FANG,knockout,Belle`s Rock,52,0.0,38.0,0.7307692307692307
1437,FANG,hotZone,Split,13,0.0,12.0,0.9230769230769231
1438,FANG,hotZone,Ring of Fire,42,0.0,32.0,0.7619047619047619
1439,FANG,hotZone,Quarter Pounder,13,0.0,10.0,0.7692307692307693
1440,FANG,hotZone,Parallel Plays,7,1.0,4.0,0.5714285714285714
1441,FANG,hotZone,Open Zone,17,0.0,13.0,0.7647058823529411
1442,FANG,hotZone,Dueling Beetles,47,0.0,43.0,0.9148936170212766
1443,FANG,hotZone,Controller Chaos,18,0.0,17.0,0.9444444444444444
1444,FANG,heist,Tornado Ring,3,0.0,3.0,1.0
1445,FANG,heist,Snaked Assault,19,0.0,10.0,0.5263157894736842
1446,FANG,heist,Safe Zone,5,0.0,3.0,0.6
1447,FANG,heist,Pit Stop,4,0.0,4.0,1.0
1448,FANG,heist,Kaboom Canyon,11,0.0,9.0,0.8181818181818182
1449,FANG,heist,Hot Potato,1,0.0,1.0,1.0
1450,FANG,gemGrab,Undermine,61,0.0,50.0,0.819672131147541
1451,FANG,gemGrab,Minecart Madness,58,0.0,39.0,0.6724137931034483
1452,FANG,gemGrab,Hard Rock Mine,12,0.0,10.0,0.8333333333333334
1453,FANG,gemGrab,Gem Fort,29,0.0,26.0,0.896551724137931
1454,FANG,gemGrab,Double Swoosh,40,0.0,34.0,0.85
1455,FANG,gemGrab,Deep Diner,65,0.0,53.0,0.8153846153846154
1456,FANG,gemGrab,Crystal Arcade,63,0.0,50.0,0.7936507936507936
1457,FANG,brawlBall,Super Beach,72,0.0,59.0,0.8194444444444444
1458,FANG,brawlBall,Sunny Soccer,107,0.0,84.0,0.7850467289719626
1459,FANG,brawlBall,Sneaky Fields,62,1.0,50.0,0.8064516129032258
1460,FANG,brawlBall,Pinhole Punt,130,2.0,93.0,0.7153846153846154
1461,FANG,brawlBall,Center Stage,100,1.0,67.0,0.67
1462,FANG,brawlBall,Beach Ball,132,0.0,101.0,0.7651515151515151
1463,FANG,brawlBall,Backyard Bowl,156,2.0,120.0,0.7692307692307693
1464,FANG,bounty,Temple Ruins,15,0.0,14.0,0.9333333333333333
1465,FANG,bounty,Shooting Star,114,0.0,89.0,0.7807017543859649
1466,FANG,bounty,Layer Cake,40,0.0,31.0,0.775
1467,FANG,bounty,Hideout,71,0.0,48.0,0.676056338028169
1468,FANG,bounty,Excel,8,0.0,7.0,0.875
1469,FANG,bounty,Dry Season,90,0.0,67.0,0.7444444444444445
1470,FANG,bounty,Canal Grande,2,0.0,1.0,0.5
1471,EVE,knockout,X Marks the Spot,18,0.0,13.0,0.7222222222222222
1472,EVE,knockout,Riverside,454,0.0,344.0,0.7577092511013216
1473,EVE,knockout,Out in the Open,66,0.0,51.0,0.7727272727272727
1474,EVE,knockout,New Perspective,4,0.0,2.0,0.5
1475,EVE,knockout,Goldarm Gulch,12,0.0,7.0,0.5833333333333334
1476,EVE,knockout,Flaring Phoenix,2,0.0,2.0,1.0
1477,EVE,knockout,Belle`s Rock,23,0.0,17.0,0.7391304347826086
1478,EVE,hotZone,Split,5,0.0,3.0,0.6
1479,EVE,hotZone,Ring of Fire,9,0.0,9.0,1.0
1480,EVE,hotZone,Quarter Pounder,6,0.0,4.0,0.6666666666666666
1481,EVE,hotZone,Parallel Plays,2,0.0,1.0,0.5
1482,EVE,hotZone,Open Zone,4,0.0,4.0,1.0
1483,EVE,hotZone,Dueling Beetles,6,0.0,5.0,0.8333333333333334
1484,EVE,hotZone,Controller Chaos,7,0.0,6.0,0.8571428571428571
1485,EVE,heist,Tornado Ring,5,0.0,5.0,1.0
1486,EVE,heist,Snaked Assault,8,0.0,7.0,0.875
1487,EVE,heist,Safe Zone,24,0.0,19.0,0.7916666666666666
1488,EVE,heist,Pit Stop,1,0.0,1.0,1.0
1489,EVE,heist,Kaboom Canyon,38,0.0,32.0,0.8421052631578947
1490,EVE,heist,Bridge Too Far,26,0.0,18.0,0.6923076923076923
1491,EVE,gemGrab,Undermine,7,0.0,6.0,0.8571428571428571
1492,EVE,gemGrab,Minecart Madness,16,0.0,14.0,0.875
1493,EVE,gemGrab,Hard Rock Mine,2,0.0,2.0,1.0
1494,EVE,gemGrab,Gem Fort,7,0.0,6.0,0.8571428571428571
1495,EVE,gemGrab,Double Swoosh,4,0.0,3.0,0.75
1496,EVE,gemGrab,Deep Diner,13,0.0,11.0,0.8461538461538461
1497,EVE,gemGrab,Crystal Arcade,22,0.0,19.0,0.8636363636363636
1498,EVE,brawlBall,Super Beach,5,0.0,4.0,0.8
1499,EVE,brawlBall,Sunny Soccer,4,0.0,4.0,1.0
1500,EVE,brawlBall,Sneaky Fields,16,0.0,16.0,1.0
